0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
,РЕГИОН,Мурманск,,,,,,,,,,,,,
,Год,2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Названия строк,"АГ, %","ИБС, %","ССС, %","ЦВЗ, %","СД, %","ЭК(СД-), %","ЗНО, %","ЯБЖДК, %","ЖКТ(ЯБ-), %","ХОБЛБА, %","ОХ, %","КМС(ОХ-), %","Z00-Z99, %","ПРОЧИЕ, %"
,ГОБУЗ КОЛЬСКАЯ ЦРБ,0.6231457499411349,0.1191429244172357,0.15187190958323524,0.07711325641629385,0.14068754414881093,0.747821991994349,0.07723098657876148,0.029550270779373677,0.4041676477513539,0.05486225570991288,0.2354603249352484,0.09854014598540146,0.05085943018601366,0.4544384271250294
,"ГОБУЗ ЛЦРБ""",0.4635416666666667,0.03125,0.020833333333333332,0.005208333333333333,0.046875,0.15104166666666666,0,0.026041666666666668,0.020833333333333332,0.020833333333333332,0.057291666666666664,0.041666666666666664,0.046875,0.046875
,"ГОБУЗ МГП №1""",0.43636363636363634,0.0712430426716141,0.016697588126159554,0.022263450834879406,0.06419294990723562,0.07012987012987013,0.030426716141001856,0.002968460111317254,0.052319109461966606,0.012987012987012988,0.07680890538033396,0.01261595547309833,0.08014842300556586,0.04712430426716141
,ГОАУЗ МЦРБ,0.42368659420289856,0.06906702898550725,0.01381340579710145,0.011322463768115942,0.030797101449275364,0.10122282608695653,0.0033967391304347825,0.008378623188405798,0.07721920289855072,0.021059782608695652,0.04778079710144927,0.028306159420289856,0.0817481884057971,0.07178442028985507
,"ЧУЗ РЖД-МЕДИЦИНА"" Г. МУРМАНСК""",0.4205186020293123,0.08229988726042842,0.07666290868094701,0.03494926719278467,0.09470124013528748,0.6865839909808342,0.038331454340473504,0.020293122886133032,0.11724915445321307,0.02480270574971815,0.06877113866967305,0.05073280721533258,0.8218714768883878,0.6651634723788049
,"ГОБУЗ ПЕЧЕНГСКАЯ ЦРБ""",0.4132615610472229,0.016638120871054565,0.011744555908979692,0.009297773427942257,0.042084658673843894,0.04477611940298507,0.0004893564962074871,0.0031808172253486667,0.07315879618301933,0.020063616344506974,0.19354049425006117,0.014925373134328358,0.10056275997063861,0.04746758013212626
,"ГОБУЗ МГП № 2""",0.4015544041450777,0.029015544041450778,0.02538860103626943,0.01865284974093264,0.054404145077720206,0.06373056994818653,0.03367875647668394,0.004145077720207254,0.04766839378238342,0.011917098445595855,0.04818652849740933,0.014507772020725389,0.18911917098445596,0.050259067357512954
,"ГОБУЗ КАНДАЛАКШСКАЯ ЦРБ""",0.3987341772151899,0.0379746835443038,0.006329113924050633,0.03164556962025317,0.04008438818565401,0.21308016877637131,0,0,0.035864978902953586,0.012658227848101266,0.13291139240506328,0.02109704641350211,0.03375527426160337,0.03375527426160337
,"ГОАУЗ ""МОМЦ""",0.3882395548678102,0.03717117176439601,0.01916175550653541,0.017449708622789977,0.060481348566160734,0.13238731768346887,0.02334310078029829,0.004741052908833503,0.05215158199716854,0.017252164751588583,0.07111579363250255,0.01899713561386758,0.08991538537516873,0.06054719652322787
,"ГОБУЗ АПАТИТСКО-КИРОВСКАЯ ЦРБ""",0.3800567778566359,0.06493967352732434,0.019694819020581972,0.0241305890702626,0.0454222853087296,0.060326472675656495,0.004790631653655075,0.007984386089425125,0.053229240596167494,0.013662171753016324,0.10965223562810504,0.05145493257629524,0.10202271114265436,0.05908445706174592
,"ГОБУЗ ОЦРБ""",0.37053352912383747,0.040626529613313755,0.013705335291238374,0.022515907978463045,0.07440039158100832,0.048458149779735685,0.013705335291238374,0.00978952520802741,0.03720019579050416,0.01566324033284386,0.08712677435144396,0.014684287812041116,0.18159569260890845,0.06461086637298091
,ФГБУЗ ММЦ ИМ.Н.И.ПИРОГОВА ФМБА РОССИИ,0.3482986767485822,0.06427221172022685,0.028591682419659734,0.022684310018903593,0.06805293005671077,0.08482986767485823,0.0025992438563327033,0.005671077504725898,0.10515122873345936,0.0222117202268431,0.18667296786389415,0.02953686200378072,0.17296786389413987,0.08270321361058601
,ФГБУЗ ЦМСЧ № 120 ФМБА,0.3317051509769094,0.06971580817051509,0.0741563055062167,0.019538188277087035,0.07326820603907638,0.16563055062166962,0.013765541740674956,0.010657193605683837,0.12211367673179396,0.021758436944937832,0.1780639431616341,0.03285968028419183,0.05950266429840142,0.19316163410301954
,"ГОБУЗ ЦРБ ЗАТО Г. СЕВЕРОМОРСК""",0.330837961844965,0.028495532480077277,0.021733880705143684,0.0070031393383240765,0.05047090074861145,0.13281815986476697,0.013764791113257667,0.005795701521371649,0.04926346293165902,0.015455204056991065,0.07389519439748853,0.023182806085486597,0.1502052644288819,0.09224824921516542
,"ГОБУЗ МОКБ ИМ. П.А.БАЯНДИНА""",0.32983934169278994,0.03516849529780564,0.03800940438871473,0.021355799373040753,0.04614028213166144,0.2313871473354232,0.014302507836990596,0.009992163009404389,0.10579937304075235,0.017241379310344827,0.1595807210031348,0.03702978056426332,0.18083855799373041,0.14371081504702193
,ФГБУЗ МСЧ № 118 ФМБА РОССИИ,0.32751354605659244,0.033112582781456956,0.0070238811960666265,0.0026088701585390327,0.057194461167971104,0.015653220951234198,0.02789484246437889,0.006823198876179009,0.018061408789885613,0.010836845273931367,0.00481637567730283,0.006622516556291391,0.46177001806140877,0.019466185029098935
,Больница КНЦ РАН,0.29459588713534196,0.028694404591104734,0.006217120994739359,0.001912960306073649,0.03730272596843615,0.11429937828790053,0.0023912003825920613,0.020564323290291727,0.017694882831181254,0.010043041606886656,0.02582496413199426,0.016260162601626018,0.1568627450980392,0.2635102821616451
,Общий итог,0.39661633046873246,0.04980142257724325,0.03481275383131016,0.022460564992034464,0.06320820337918191,0.1845984697197478,0.022516660309197387,0.008975250746067719,0.09560885857248637,0.02044113357416923,0.10766935176251487,0.031245091659748245,0.13663697354544843,0.12112100881818386
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
